counterid,day_type,month,day_part,sfmta_count
59,weekday,July,mid,166.7
59,weekday,August,mid,189.8
59,weekday,September,mid,185.8
59,weekday,October,mid,181.1
59,weekday,November,mid,162.7
59,weekday,December,mid,102.5
59,weekday,January,peak_pm,174.5
59,weekday,February,peak_pm,390.375
59,weekday,March,peak_pm,224
59,weekday,April,peak_pm,211
59,weekday,May,peak_pm,255.125
59,weekday,June,peak_pm,239.25
59,weekday,July,peak_pm,233
59,weekday,August,peak_pm,274.5
59,weekday,September,peak_pm,255.875
59,weekday,October,peak_pm,245.875
59,weekday,November,peak_pm,202.875
59,weekday,December,peak_pm,125.75
59,weekend,January,late_pm,182.5
59,weekend,February,late_pm,3.8
59,weekend,March,late_pm,5.3
59,weekend,April,late_pm,9
59,weekend,May,late_pm,8.5
59,weekend,June,late_pm,10.9
59,weekend,July,late_pm,13.8
59,weekend,August,late_pm,13.1
59,weekend,September,late_pm,9.3
59,weekend,October,late_pm,10.1
59,weekend,November,late_pm,5.9
59,weekend,December,late_pm,3
59,weekend,January,early_am,293.833333333333
59,weekend,February,early_am,0.833333333333333
59,weekend,March,early_am,2.16666666666667
59,weekend,April,early_am,2.75
59,weekend,May,early_am,1.41666666666667
59,weekend,June,early_am,2.5
59,weekend,July,early_am,3.08333333333333
59,weekend,August,early_am,2.08333333333333
59,weekend,September,early_am,2.25
59,weekend,October,early_am,1.33333333333333
59,weekend,November,early_am,1.66666666666667
59,weekend,December,early_am,0.833333333333333
59,weekend,January,peak_am,250.125
59,weekend,February,peak_am,13
59,weekend,March,peak_am,15.125
59,weekend,April,peak_am,19.75
59,weekend,May,peak_am,16.25
59,weekend,June,peak_am,18.625
59,weekend,July,peak_am,25.375
59,weekend,August,peak_am,16.375
59,weekend,September,peak_am,20.625
59,weekend,October,peak_am,19.125
59,weekend,November,peak_am,10.875
59,weekend,December,peak_am,10.375
59,weekend,January,mid,218.1
59,weekend,February,mid,23.6
59,weekend,March,mid,22.4
59,weekend,April,mid,30.4
59,weekend,May,mid,31.4
59,weekend,June,mid,34.4
59,weekend,July,mid,45.3
59,weekend,August,mid,36.6
59,weekend,September,mid,40.8
59,weekend,October,mid,39.2
59,weekend,November,mid,30.9
59,weekend,December,mid,18.8
59,weekend,January,peak_pm,168.5
59,weekend,February,peak_pm,15.25
59,weekend,March,peak_pm,14.875
59,weekend,April,peak_pm,27.75
59,weekend,May,peak_pm,27
59,weekend,June,peak_pm,28.5
59,weekend,July,peak_pm,41.25
59,weekend,August,peak_pm,31.625
59,weekend,September,peak_pm,28.25
59,weekend,October,peak_pm,29.25
59,weekend,November,peak_pm,19.875
59,weekend,December,peak_pm,16.25
27,weekday,January,late_pm,23.2666666666667
27,weekday,February,late_pm,29.64
27,weekday,March,late_pm,31.92
27,weekday,April,late_pm,31.4
27,weekday,May,late_pm,33.48
27,weekday,June,late_pm,32
27,weekday,July,late_pm,33.92
27,weekday,August,late_pm,35.68
27,weekday,September,late_pm,32.56
27,weekday,October,late_pm,31.88
27,weekday,November,late_pm,23.44
27,weekday,December,late_pm,19.32
27,weekday,January,early_am,0.833333333333333
27,weekday,February,early_am,1.13333333333333
27,weekday,March,early_am,0.966666666666667
27,weekday,April,early_am,1.5
27,weekday,May,early_am,0.933333333333333
27,weekday,June,early_am,1.26666666666667
27,weekday,July,early_am,0.866666666666667
27,weekday,August,early_am,1
27,weekday,September,early_am,2.03333333333333
27,weekday,October,early_am,1.63333333333333
27,weekday,November,early_am,1.13333333333333
27,weekday,December,early_am,1.2
27,weekday,January,peak_am,26
27,weekday,February,peak_am,35.55
27,weekday,March,peak_am,31.25
27,weekday,April,peak_am,29.7
27,weekday,May,peak_am,35.25
27,weekday,June,peak_am,20.05
27,weekday,July,peak_am,20
27,weekday,August,peak_am,26.95
27,weekday,September,peak_am,32.45
27,weekday,October,peak_am,32.75
27,weekday,November,peak_am,28.6
27,weekday,December,peak_am,26.25
27,weekday,January,mid,41.8
27,weekday,February,mid,51.62
27,weekday,March,mid,44.48
27,weekday,April,mid,41.72
27,weekday,May,mid,43.72
27,weekday,June,mid,39.4
27,weekday,July,mid,38.16
27,weekday,August,mid,42.24
27,weekday,September,mid,48.08
27,weekday,October,mid,50.4
27,weekday,November,mid,47.76
27,weekday,December,mid,45.36
27,weekday,January,peak_pm,152.166666666667
27,weekday,February,peak_pm,186.35
27,weekday,March,peak_pm,186.85
27,weekday,April,peak_pm,176
27,weekday,May,peak_pm,190.9
27,weekday,June,peak_pm,176.05
27,weekday,July,peak_pm,171.55
27,weekday,August,peak_pm,202.05
27,weekday,September,peak_pm,189.7
27,weekday,October,peak_pm,200.25
27,weekday,November,peak_pm,154.3
27,weekday,December,peak_pm,122.9
27,weekend,January,late_pm,2.36666666666667
27,weekend,February,late_pm,3.24
27,weekend,March,late_pm,2.52
27,weekend,April,late_pm,3.68
27,weekend,May,late_pm,3.44
27,weekend,June,late_pm,4.88
27,weekend,July,late_pm,3.68
27,weekend,August,late_pm,3.96
27,weekend,September,late_pm,3.4
27,weekend,October,late_pm,3.48
27,weekend,November,late_pm,2.56
27,weekend,December,late_pm,3.12
27,weekend,January,early_am,0.305555555555556
27,weekend,February,early_am,0.3
27,weekend,March,early_am,0.4
27,weekend,April,early_am,0.2
27,weekend,May,early_am,0.4
27,weekend,June,early_am,0.533333333333333
27,weekend,July,early_am,0.466666666666667
27,weekend,August,early_am,0.433333333333333
27,weekend,September,early_am,0.533333333333333
27,weekend,October,early_am,0.666666666666667
27,weekend,November,early_am,0.233333333333333
27,weekend,December,early_am,0.266666666666667
27,weekend,January,peak_am,9.33333333333333
27,weekend,February,peak_am,13.6
27,weekend,March,peak_am,10.95
27,weekend,April,peak_am,11.85
27,weekend,May,peak_am,9.85
27,weekend,June,peak_am,11.45
27,weekend,July,peak_am,11.35
27,weekend,August,peak_am,10.4
27,weekend,September,peak_am,13.45
27,weekend,October,peak_am,12.1
27,weekend,November,peak_am,10.75
27,weekend,December,peak_am,9.2
27,weekend,January,mid,26.1
27,weekend,February,mid,35.96
27,weekend,March,mid,25.68
27,weekend,April,mid,30.56
27,weekend,May,mid,27.28
27,weekend,June,mid,31.92
27,weekend,July,mid,28
27,weekend,August,mid,26.56
27,weekend,September,mid,33.28
27,weekend,October,mid,31.4
27,weekend,November,mid,24.2
27,weekend,December,mid,28.08
27,weekend,January,peak_pm,13.8333333333333
27,weekend,February,peak_pm,21
27,weekend,March,peak_pm,19
27,weekend,April,peak_pm,22.05
27,weekend,May,peak_pm,18
27,weekend,June,peak_pm,21.45
27,weekend,July,peak_pm,21.9
27,weekend,August,peak_pm,19.9
27,weekend,September,peak_pm,24.3
27,weekend,October,peak_pm,22.2
27,weekend,November,peak_pm,12.9
27,weekend,December,peak_pm,12.5
28,weekday,January,late_pm,54.3
28,weekday,February,late_pm,69.1
28,weekday,March,late_pm,86
28,weekday,April,late_pm,84
28,weekday,May,late_pm,101.4
28,weekday,June,late_pm,92.3
28,weekday,July,late_pm,79.8
28,weekday,August,late_pm,95.1
28,weekday,September,late_pm,89.8
28,weekday,October,late_pm,77.7
28,weekday,November,late_pm,68.8
28,weekday,December,late_pm,50.3
28,weekday,January,early_am,12.6666666666667
28,weekday,February,early_am,12.1666666666667
28,weekday,March,early_am,17.25
28,weekday,April,early_am,11.3333333333333
28,weekday,May,early_am,17.0833333333333
28,weekday,June,early_am,15.5
28,weekday,July,early_am,14.1666666666667
28,weekday,August,early_am,17.3333333333333
28,weekday,September,early_am,17.75
28,weekday,October,early_am,16.0833333333333
28,weekday,November,early_am,15.3333333333333
28,weekday,December,early_am,14.3333333333333
28,weekday,January,peak_am,83.375
28,weekday,February,peak_am,109.25
28,weekday,March,peak_am,120
28,weekday,April,peak_am,124.625
28,weekday,May,peak_am,131.75
28,weekday,June,peak_am,105.25
28,weekday,July,peak_am,82.625
28,weekday,August,peak_am,128
28,weekday,September,peak_am,138.875
28,weekday,October,peak_am,124.375
28,weekday,November,peak_am,120.125
28,weekday,December,peak_am,82.5
28,weekday,January,mid,72.6
28,weekday,February,mid,73.5
28,weekday,March,mid,102.1
28,weekday,April,mid,96.6
28,weekday,May,mid,108
28,weekday,June,mid,98.9
28,weekday,July,mid,109.6
28,weekday,August,mid,106.3
28,weekday,September,mid,118.9
28,weekday,October,mid,103.4
28,weekday,November,mid,116.5
28,weekday,December,mid,86.5
28,weekday,January,peak_pm,204
28,weekday,February,peak_pm,261.25
28,weekday,March,peak_pm,325.25
28,weekday,April,peak_pm,310.375
28,weekday,May,peak_pm,372.375
28,weekday,June,peak_pm,339.125
28,weekday,July,peak_pm,318
28,weekday,August,peak_pm,399.5
28,weekday,September,peak_pm,375.875
28,weekday,October,peak_pm,345
28,weekday,November,peak_pm,306.375
28,weekday,December,peak_pm,223.375
28,weekend,January,late_pm,10.3
28,weekend,February,late_pm,10.2
28,weekend,March,late_pm,9.5
28,weekend,April,late_pm,19
28,weekend,May,late_pm,17.3
28,weekend,June,late_pm,17
28,weekend,July,late_pm,16.8
28,weekend,August,late_pm,14.8
28,weekend,September,late_pm,18
28,weekend,October,late_pm,17.5
28,weekend,November,late_pm,9.2
28,weekend,December,late_pm,11.8
28,weekend,January,early_am,3.08333333333333
28,weekend,February,early_am,3.16666666666667
28,weekend,March,early_am,3.5
28,weekend,April,early_am,4.5
28,weekend,May,early_am,5.16666666666667
28,weekend,June,early_am,4.58333333333333
28,weekend,July,early_am,6
28,weekend,August,early_am,4.75
28,weekend,September,early_am,5.75
28,weekend,October,early_am,5
28,weekend,November,early_am,3.83333333333333
28,weekend,December,early_am,4.08333333333333
28,weekend,January,peak_am,30.75
28,weekend,February,peak_am,31.875
28,weekend,March,peak_am,26
28,weekend,April,peak_am,43.375
28,weekend,May,peak_am,40.625
28,weekend,June,peak_am,45.5
28,weekend,July,peak_am,53.875
28,weekend,August,peak_am,42.375
28,weekend,September,peak_am,50.5
28,weekend,October,peak_am,48.25
28,weekend,November,peak_am,33.25
28,weekend,December,peak_am,36.875
28,weekend,January,mid,63.5
28,weekend,February,mid,79.6
28,weekend,March,mid,55.8
28,weekend,April,mid,92.6
28,weekend,May,mid,79.8
28,weekend,June,mid,86.9
28,weekend,July,mid,99.2
28,weekend,August,mid,77.2
28,weekend,September,mid,89.2
28,weekend,October,mid,84.7
28,weekend,November,mid,63
28,weekend,December,mid,82.2
28,weekend,January,peak_pm,39.75
28,weekend,February,peak_pm,45.25
28,weekend,March,peak_pm,43.875
28,weekend,April,peak_pm,68.875
28,weekend,May,peak_pm,67.25
28,weekend,June,peak_pm,57.125
28,weekend,July,peak_pm,70.625
