counterid,day_type,day_part,sfmta_count
905,weekday,peak_pm,2810.3125
905,weekend,late_pm,139.3
905,weekend,early_am,18.75
905,weekend,peak_am,280.75
905,weekend,mid,523.7
905,weekend,peak_pm,385.25
907,weekday,late_pm,261.6
907,weekday,early_am,481.138888888889
907,weekday,peak_am,3420.16666666667
907,weekday,mid,1364.43333333333
907,weekday,peak_pm,1467.29166666667
907,weekend,late_pm,63.7333333333333
907,weekend,early_am,72.5277777777778
907,weekend,peak_am,1056.16666666667
907,weekend,mid,1012.5
907,weekend,peak_pm,388.875
908,weekday,late_pm,844.233333333333
908,weekday,early_am,196.055555555556
908,weekday,peak_am,1208.5
908,weekday,mid,1241.93333333333
908,weekday,peak_pm,3802.79166666667
908,weekend,late_pm,136.566666666667
908,weekend,early_am,42.4166666666667
908,weekend,peak_am,515.166666666667
908,weekend,mid,999.3
908,weekend,peak_pm,645.708333333333
909,weekday,late_pm,3123.86349206349
909,weekday,early_am,626.155982905983
909,weekday,peak_am,5825.66865079365
909,weekday,mid,4611.72936507937
909,weekday,peak_pm,
909,weekend,late_pm,471.4
909,weekend,early_am,136.722222222222
909,weekend,peak_am,859.708333333333
909,weekend,mid,1705.9
909,weekend,peak_pm,1459.16666666667
910,weekday,late_pm,5382.4623015873
910,weekday,early_am,1781.02424242424
910,weekday,peak_am,
910,weekday,mid,
910,weekday,peak_pm,
910,weekend,late_pm,2188.4
910,weekend,early_am,542.5
910,weekend,peak_am,6311.02857142857
910,weekend,mid,
910,weekend,peak_pm,8088.48095238095
911,weekday,late_pm,3143.78333333333
911,weekday,early_am,2124.7696969697
911,weekday,peak_am,
911,weekday,mid,9428.1
911,weekday,peak_pm,9000.40476190476
911,weekend,late_pm,704.333333333333
911,weekend,early_am,257.444444444444
911,weekend,peak_am,1461
911,weekend,mid,2743.23333333333
911,weekend,peak_pm,1871.75
912,weekday,late_pm,690.65
912,weekday,early_am,211.166666666667
912,weekday,peak_am,2438.9375
912,weekday,mid,1943
912,weekday,peak_pm,2928.5625
912,weekend,late_pm,168.5
912,weekend,early_am,42.9166666666667
912,weekend,peak_am,609.125
912,weekend,mid,1292.3
912,weekend,peak_pm,788.25
913,weekday,late_pm,668.05
913,weekday,early_am,709.416666666667
913,weekday,peak_am,3268.25
913,weekday,mid,1410.3
913,weekday,peak_pm,3108
913,weekend,late_pm,162.2
913,weekend,early_am,62.0833333333333
913,weekend,peak_am,431
913,weekend,mid,582.1
913,weekend,peak_pm,381.125
914,weekday,late_pm,819.066666666667
914,weekday,early_am,1031.98611111111
914,weekday,peak_am,5309.59507575758
914,weekday,mid,1805.35
914,weekday,peak_pm,3023.04166666667
914,weekend,late_pm,224.8
914,weekend,early_am,99.3888888888889
914,weekend,peak_am,586.8125
914,weekend,mid,1039.63333333333
914,weekend,peak_pm,718.958333333333
915,weekday,late_pm,5021.18842040313
915,weekday,early_am,1948.84722222222
915,weekday,peak_am,
915,weekday,mid,
915,weekday,peak_pm,
915,weekend,late_pm,1593.95
915,weekend,early_am,438.388888888889
915,weekend,peak_am,3664.35416666667
915,weekend,mid,7687.60917678812
915,weekend,peak_pm,5644.9625
916,weekday,late_pm,1619.79084249084
916,weekday,early_am,756.472222222222
916,weekday,peak_am,7602.87398989899
916,weekday,mid,8455.50565545566
916,weekday,peak_pm,8047
916,weekend,late_pm,273.433333333333
916,weekend,early_am,130.25
916,weekend,peak_am,4505.35984848485
916,weekend,mid,8316.43888888889
916,weekend,peak_pm,4845.65303030303
917,weekday,late_pm,874.65
917,weekday,early_am,718.388888888889
917,weekday,peak_am,2323.95
917,weekday,mid,3961.47216117216
917,weekday,peak_pm,3676.54644660895
917,weekend,late_pm,377.433333333333
917,weekend,early_am,29.5972222222222
917,weekend,peak_am,961.583333333333
917,weekend,mid,3408.75
917,weekend,peak_pm,3417.92613636364
918,weekday,late_pm,5094.27948717949
918,weekday,early_am,2303.23039215686
918,weekday,peak_am,
918,weekday,mid,
918,weekday,peak_pm,
918,weekend,late_pm,2037.05
918,weekend,early_am,665.513888888889
918,weekend,peak_am,7017.8902958153
918,weekend,mid,10065.0452380952
918,weekend,peak_pm,6497.94545454546
919,weekday,late_pm,
919,weekday,early_am,
919,weekday,peak_am,
919,weekday,mid,
919,weekday,peak_pm,
919,weekend,late_pm,
919,weekend,early_am,
919,weekend,peak_am,
919,weekend,mid,
919,weekend,peak_pm,
920,weekday,late_pm,3013.54285714286
920,weekday,early_am,1664.16666666667
920,weekday,peak_am,
920,weekday,mid,6803.9
920,weekday,peak_pm,7255.16031746032
920,weekend,late_pm,962.033333333333
920,weekend,early_am,440.805555555556
920,weekend,peak_am,1685.33333333333
920,weekend,mid,3239.76666666667
920,weekend,peak_pm,2515.375
921,weekday,late_pm,4564.71388888889
921,weekday,early_am,601.361111111111
921,weekday,peak_am,6522.72916666667
921,weekday,mid,7074.36111111111
921,weekday,peak_pm,
921,weekend,late_pm,910.8
921,weekend,early_am,245.694444444445
921,weekend,peak_am,1032.16666666667
921,weekend,mid,2597.7
921,weekend,peak_pm,2582.125
922,weekday,late_pm,
922,weekday,early_am,
922,weekday,peak_am,
922,weekday,mid,
922,weekday,peak_pm,
922,weekend,late_pm,
922,weekend,early_am,
922,weekend,peak_am,
922,weekend,mid,
922,weekend,peak_pm,
923,weekday,late_pm,464.45
923,weekday,early_am,422.069444444444
923,weekday,peak_am,2374.08333333333
923,weekday,mid,757.733333333333
923,weekday,peak_pm,2103
923,weekend,late_pm,77.3
923,weekend,early_am,32.1111111111111
923,weekend,peak_am,188.291666666667
923,weekend,mid,367.3
923,weekend,peak_pm,280.375
925,weekday,late_pm,5191.66666666667
925,weekday,early_am,2224.52619047619
925,weekday,peak_am,
925,weekday,mid,
925,weekday,peak_pm,
925,weekend,late_pm,1810.26666666667
925,weekend,early_am,632.277777777778
925,weekend,peak_am,4516.04166666667
925,weekend,mid,7932.04242424242
925,weekend,peak_pm,5599.04166666667
926,weekday,late_pm,5806.58542568543
926,weekday,early_am,1834.56944444444
926,weekday,peak_am,8926.97771672772
926,weekday,mid,
926,weekday,peak_pm,
926,weekend,late_pm,2356.61666666667
926,weekend,early_am,598.736111111111
926,weekend,peak_am,3228.77083333333
926,weekend,mid,7756.175
926,weekend,peak_pm,6489.58939393939
924,weekday,late_pm,
924,weekday,early_am,
924,weekday,peak_am,
924,weekday,mid,
924,weekday,peak_pm,
924,weekend,late_pm,
924,weekend,early_am,
924,weekend,peak_am,
924,weekend,mid,
924,weekend,peak_pm,
927,weekday,late_pm,2119.73333333333
927,weekday,early_am,1336.77843137255
927,weekday,peak_am,
927,weekday,mid,
927,weekday,peak_pm,
927,weekend,late_pm,827.733333333333
927,weekend,early_am,331.861111111111
927,weekend,peak_am,6760.54404761905
927,weekend,mid,
927,weekend,peak_pm,
928,weekday,late_pm,590.316666666667
928,weekday,early_am,441.347222222222
928,weekday,peak_am,5713.29166666667
928,weekday,mid,1405.35
928,weekday,peak_pm,2748.91666666667
928,weekend,late_pm,66.1333333333333
928,weekend,early_am,33.3888888888889
928,weekend,peak_am,524.25
928,weekend,mid,626.7
928,weekend,peak_pm,309.333333333333
929,weekday,late_pm,1405.63333333333
929,weekday,early_am,936
929,weekday,peak_am,3452.75
929,weekday,mid,3966.33270676692
929,weekday,peak_pm,8341.92738095238
929,weekend,late_pm,308.25
929,weekend,early_am,204.791666666667
929,weekend,peak_am,2255.3125
929,weekend,mid,3061.05
929,weekend,peak_pm,1679.375
930,weekday,late_pm,3249.76428571429
930,weekday,early_am,1411.06985294118
930,weekday,peak_am,
930,weekday,mid,10327.3399350649
930,weekday,peak_pm,
930,weekend,late_pm,1273.96666666667
930,weekend,early_am,255.5
930,weekend,peak_am,3924.95833333333
930,weekend,mid,9639.48670634921
930,weekend,peak_pm,7009.18676046176
931,weekday,late_pm,1499.66666666667
931,weekday,early_am,1642.65277777778
931,weekday,peak_am,8069.92380952381
931,weekday,mid,5545.58333333333
931,weekday,peak_pm,6572.38446969697
931,weekend,late_pm,523.5
931,weekend,early_am,169.708333333333
931,weekend,peak_am,1730.66666666667
931,weekend,mid,3562.23333333333
931,weekend,peak_pm,2845.70833333333
932,weekday,late_pm,2547.23333333333
932,weekday,early_am,479.638888888889
932,weekday,peak_am,3378.16666666667
932,weekday,mid,3465.4
932,weekday,peak_pm,8384.37738095238
932,weekend,late_pm,511.466666666667
932,weekend,early_am,124.694444444444
932,weekend,peak_am,1100.54166666667
932,weekend,mid,2522.4
932,weekend,peak_pm,1707.41666666667
933,weekday,late_pm,5808.7893939394
933,weekday,early_am,2005.15
933,weekday,peak_am,
933,weekday,mid,
933,weekday,peak_pm,
933,weekend,late_pm,3391.03333333333
933,weekend,early_am,961
933,weekend,peak_am,6841.58333333333
933,weekend,mid,
933,weekend,peak_pm,
934,weekday,late_pm,
934,weekday,early_am,
934,weekday,peak_am,
934,weekday,mid,
934,weekday,peak_pm,
934,weekend,late_pm,
934,weekend,early_am,
934,weekend,peak_am,
934,weekend,mid,
934,weekend,peak_pm,
935,weekday,late_pm,1503.36666666667
935,weekday,early_am,469.180555555556
935,weekday,peak_am,1914.3125
935,weekday,mid,2319.35
935,weekday,peak_pm,5702.57121212121
935,weekend,late_pm,287.566666666667
935,weekend,early_am,96.0833333333333
935,weekend,peak_am,317.270833333333
935,weekend,mid,801.133333333333
935,weekend,peak_pm,741.541666666667
936,weekday,late_pm,412.166666666667
936,weekday,early_am,694.291666666667
936,weekday,peak_am,4174.420995671
936,weekday,mid,2264.76666666667
936,weekday,peak_pm,2019.45833333333
936,weekend,late_pm,82.8666666666667
936,weekend,early_am,86.7916666666667
936,weekend,peak_am,682
936,weekend,mid,858.066666666667
936,weekend,peak_pm,366.75
937,weekday,late_pm,1839.9
937,weekday,early_am,511.583333333333
937,weekday,peak_am,2831.3125
937,weekday,mid,2290.25
937,weekday,peak_pm,7362.15
937,weekend,late_pm,360.6
937,weekend,early_am,135.666666666667
937,weekend,peak_am,699.5
937,weekend,mid,1168.7
937,weekend,peak_pm,957.5
938,weekday,late_pm,3629.62799145299
938,weekday,early_am,890.882386363636
938,weekday,peak_am,
938,weekday,mid,
938,weekday,peak_pm,
938,weekend,late_pm,778.233333333333
938,weekend,early_am,179
938,weekend,peak_am,1686.125
938,weekend,mid,3212.83333333333
938,weekend,peak_pm,2555.75
939,weekday,late_pm,1438.7
939,weekday,early_am,1604
939,weekday,peak_am,
939,weekday,mid,5080.8
939,weekday,peak_pm,4998.875
939,weekend,late_pm,488.7
939,weekend,early_am,169.666666666667
939,weekend,peak_am,1429.25
939,weekend,mid,2616.4
939,weekend,peak_pm,1726.5
940,weekday,late_pm,5637.93411413148
940,weekday,early_am,2201.21405228758
940,weekday,peak_am,
940,weekday,mid,
940,weekday,peak_pm,
940,weekend,late_pm,2068.51666666667
940,weekend,early_am,653.291666666667
940,weekend,peak_am,4445.08333333333
940,weekend,mid,7921.61666666667
940,weekend,peak_pm,5624.16666666667
3,weekday,late_pm,200.695
3,weekday,early_am,264.295833333333
3,weekday,peak_am,1758.3875
3,weekday,mid,764.445
3,weekday,peak_pm,958.275
3,weekend,late_pm,57.88
3,weekend,early_am,42.0166666666667
3,weekend,peak_am,384.1375
3,weekend,mid,482.83
3,weekend,peak_pm,260.25
4,weekday,late_pm,412.308333333333
4,weekday,early_am,302.138888888889
4,weekday,peak_am,975.25
4,weekday,mid,590.858333333333
4,weekday,peak_pm,1505.80208333333
4,weekend,late_pm,97.4833333333333
4,weekend,early_am,46.3472222222222
4,weekend,peak_am,327.125
4,weekend,mid,388.583333333333
4,weekend,peak_pm,251.541666666667
64,weekday,late_pm,2.2
64,weekday,early_am,9.33333333333333
64,weekday,peak_am,57.75
64,weekday,mid,56.2
64,weekday,peak_pm,26.25
64,weekend,late_pm,0.4
64,weekend,early_am,1
64,weekend,peak_am,38
64,weekend,mid,49.6
64,weekend,peak_pm,5.5
67,weekday,late_pm,476.21052631579
67,weekday,early_am,116.377415458937
67,weekday,peak_am,2119.75
67,weekday,mid,2126.81666666667
67,weekday,peak_pm,3441.5
67,weekend,late_pm,91.1833333333333
67,weekend,early_am,13.0972222222222
67,weekend,peak_am,1124.6875
67,weekend,mid,3563.03333333333
67,weekend,peak_pm,1665.25
54,weekday,late_pm,178.133333333333
54,weekday,early_am,87.8194444444445
54,weekday,peak_am,929.145833333333
54,weekday,mid,459.733333333333
54,weekday,peak_pm,842.4375
54,weekend,late_pm,42.35
54,weekend,early_am,14.0694444444444
54,weekend,peak_am,158.979166666667
54,weekend,mid,318.25
54,weekend,peak_pm,207.833333333333
6,weekday,late_pm,668.6
6,weekday,early_am,881.166666666667
6,weekday,peak_am,3195.875
6,weekday,mid,1308.6
6,weekday,peak_pm,3185.5
6,weekend,late_pm,174.1
6,weekend,early_am,91.25
6,weekend,peak_am,468.5
6,weekend,mid,638.3
6,weekend,peak_pm,416.25
70,weekday,late_pm,1308.93333333333
70,weekday,early_am,1307.94444444444
70,weekday,peak_am,2299.55357142857
70,weekday,mid,1373.86666666667
70,weekday,peak_pm,1259.75
70,weekend,late_pm,2077.13333333333
70,weekend,early_am,981.361111111111
70,weekend,peak_am,1962.58333333333
70,weekend,mid,2315.83333333333
70,weekend,peak_pm,2450.67857142857
49,weekday,late_pm,659.4
49,weekday,early_am,269.583333333333
49,weekday,peak_am,2470.125
49,weekday,mid,1948.4
49,weekday,peak_pm,2732.625
49,weekend,late_pm,188.4
49,weekend,early_am,47
49,weekend,peak_am,667.375
49,weekend,mid,1262.7
49,weekend,peak_pm,808.5
15,weekday,late_pm,1911.72923976608
15,weekday,early_am,715.115338164251
15,weekday,peak_am,1931.47916666667
15,weekday,mid,1659.95
15,weekday,peak_pm,6850.02976190476
15,weekend,late_pm,697.133333333333
15,weekend,early_am,310.416666666667
15,weekend,peak_am,990.125
15,weekend,mid,1524.96666666667
15,weekend,peak_pm,1309.20833333333
14,weekday,late_pm,1032.2
14,weekday,early_am,1178.75
14,weekday,peak_am,6250.58928571429
14,weekday,mid,1822.6
14,weekday,peak_pm,3285.125
14,weekend,late_pm,280.4
14,weekend,early_am,140.166666666667
14,weekend,peak_am,640.375
14,weekend,mid,988.8
14,weekend,peak_pm,735.75
13,weekday,late_pm,38.415
13,weekday,early_am,24.3333333333333
13,weekday,peak_am,104.8625
13,weekday,mid,88.99
13,weekday,peak_pm,174.4
13,weekend,late_pm,8.44
13,weekend,early_am,7.18055555555556
13,weekend,peak_am,65.3666666666667
13,weekend,mid,84.0433333333333
13,weekend,peak_pm,41.2
36,weekday,late_pm,4813.44523809524
36,weekday,early_am,1650.41666666667
36,weekday,peak_am,
36,weekday,mid,
36,weekday,peak_pm,
36,weekend,late_pm,1651.8
36,weekend,early_am,381.916666666667
36,weekend,peak_am,3191.75
36,weekend,mid,6466.5
36,weekend,peak_pm,4669.875
74,weekday,late_pm,1611.2
74,weekday,early_am,1037.66666666667
74,weekday,peak_am,7313.5
74,weekday,mid,6115.22222222222
74,weekday,peak_pm,7389.91666666667
74,weekend,late_pm,687.5
74,weekend,early_am,55
74,weekend,peak_am,1277.25
74,weekend,mid,4873.5
74,weekend,peak_pm,5495.05357142857
75,weekday,late_pm,1935.925
75,weekday,early_am,808.166666666667
75,weekday,peak_am,9222.73214285714
75,weekday,mid,
75,weekday,peak_pm,
75,weekend,late_pm,591.5
75,weekend,early_am,138.5
75,weekend,peak_am,4514.52976190476
75,weekend,mid,
75,weekend,peak_pm,6542.20714285714
45,weekday,late_pm,5898.28888888889
45,weekday,early_am,2172.66666666667
45,weekday,peak_am,
45,weekday,mid,
45,weekday,peak_pm,
45,weekend,late_pm,2147
45,weekend,early_am,640.833333333333
45,weekend,peak_am,5822.32142857143
45,weekend,mid,
45,weekend,peak_pm,5748.35714285714
44,weekday,late_pm,2678.4
44,weekday,early_am,1841.91666666667
44,weekday,peak_am,
44,weekday,mid,8805.40793650794
44,weekday,peak_pm,8639.26666666667
44,weekend,late_pm,638
44,weekend,early_am,282.083333333333
44,weekend,peak_am,1784.25
44,weekend,mid,3169.4
44,weekend,peak_pm,2062.375
,weekday,late_pm,811.214285714286
,weekday,early_am,238.128174603175
,weekday,peak_am,1500.39166666667
,weekday,mid,1145.50235294118
,weekday,peak_pm,1622.34597069597
,weekend,late_pm,136.786666666667
,weekend,early_am,48.2198412698413
,weekend,peak_am,318.902380952381
,weekend,mid,607.981904761905
,weekend,peak_pm,508.428571428572
55,weekday,late_pm,2017.84
55,weekday,early_am,1055.83472222222
55,weekday,peak_am,7708.45
55,weekday,mid,4401.7
55,weekday,peak_pm,6943.07733516484
55,weekend,late_pm,573.45
55,weekend,early_am,196.297222222222
55,weekend,peak_am,1295.22083333333
55,weekend,mid,2248.70333333333
55,weekend,peak_pm,1759.725
56,weekday,late_pm,739.1
56,weekday,early_am,361.166666666667
56,weekday,peak_am,4638.375
56,weekday,mid,1356.1
56,weekday,peak_pm,3276.375
56,weekend,late_pm,130
56,weekend,early_am,44.25
56,weekend,peak_am,357.5
56,weekend,mid,596.9
56,weekend,peak_pm,422.5
26,weekday,late_pm,271.35
26,weekday,early_am,106.805555555556
26,weekday,peak_am,1952.08333333333
26,weekday,mid,3483.03333333333
26,weekday,peak_pm,3210.1875
26,weekend,late_pm,120.483333333333
26,weekend,early_am,40.5694444444445
26,weekend,peak_am,1456.66666666667
26,weekend,mid,4032.8
26,weekend,peak_pm,2422.27083333333
57,weekday,late_pm,880.9875
57,weekday,early_am,789.162581453634
57,weekday,peak_am,5199.01746031746
57,weekday,mid,2349.61666666667
57,weekday,peak_pm,2957.64692982456
57,weekend,late_pm,355.093571428571
57,weekend,early_am,94.2842270531401
57,weekend,peak_am,775.221977124183
57,weekend,mid,1228.51035714286
57,weekend,peak_pm,953.644658119658
20,weekday,late_pm,3971.3
20,weekday,early_am,1038.25
20,weekday,peak_am,7210.75833333333
20,weekday,mid,4741.6
20,weekday,peak_pm,6640.77261904762
20,weekend,late_pm,659.8
20,weekend,early_am,233.666666666667
20,weekend,peak_am,1317.125
20,weekend,mid,2358.7
20,weekend,peak_pm,2147
1,weekday,late_pm,335.3
1,weekday,early_am,55.25
1,weekday,peak_am,645.125
1,weekday,mid,1032.5
1,weekday,peak_pm,1615.875
1,weekend,late_pm,39.6
1,weekend,early_am,6
1,weekend,peak_am,95.75
1,weekend,mid,207.8
1,weekend,peak_pm,170.5
2,weekday,late_pm,151.705
2,weekday,early_am,66.9833333333333
2,weekday,peak_am,1553.04375
2,weekday,mid,1087.745
2,weekday,peak_pm,679.16875
2,weekend,late_pm,37.62
2,weekend,early_am,14.0083333333333
2,weekend,peak_am,175.1375
2,weekend,mid,274.44
2,weekend,peak_pm,138.2375
51,weekday,late_pm,5100.05555555556
51,weekday,early_am,929.333333333333
51,weekday,peak_am,7741.89285714286
51,weekday,mid,8561.90198412698
51,weekday,peak_pm,
51,weekend,late_pm,1099.1
51,weekend,early_am,323.833333333333
51,weekend,peak_am,1207.75
51,weekend,mid,3006.8
51,weekend,peak_pm,2860.75
17,weekday,late_pm,742.133333333333
17,weekday,early_am,394.111111111111
17,weekday,peak_am,1927.45833333333
17,weekday,mid,1735.83333333333
17,weekday,peak_pm,3883.58333333333
17,weekend,late_pm,154.966666666667
17,weekend,early_am,67.0555555555556
17,weekend,peak_am,381.833333333333
17,weekend,mid,682
17,weekend,peak_pm,469.166666666667
16,weekday,late_pm,179.575
16,weekday,early_am,336.645833333333
16,weekday,peak_am,4601.09375
16,weekday,mid,1456.425
16,weekday,peak_pm,1688.9375
16,weekend,late_pm,51
16,weekend,early_am,39.9166666666667
16,weekend,peak_am,367.5
16,weekend,mid,525.75
16,weekend,peak_pm,316.3125
22,weekday,late_pm,976.5
22,weekday,early_am,288.25
22,weekday,peak_am,2430.625
22,weekday,mid,1200.9
22,weekday,peak_pm,5173.125
22,weekend,late_pm,152.8
22,weekend,early_am,45.3333333333333
22,weekend,peak_am,243.375
22,weekend,mid,415.4
22,weekend,peak_pm,390.125
21,weekday,late_pm,668.8
21,weekday,early_am,516.333333333333
21,weekday,peak_am,2903.125
21,weekday,mid,985.2
21,weekday,peak_pm,2789
21,weekend,late_pm,122.5
21,weekend,early_am,56.75
21,weekend,peak_am,271.875
21,weekend,mid,478.5
21,weekend,peak_pm,370
37,weekday,late_pm,5291.89166666667
37,weekday,early_am,1410.97121212121
37,weekday,peak_am,
37,weekday,mid,
37,weekday,peak_pm,
37,weekend,late_pm,2011.6
37,weekend,early_am,458.666666666667
37,weekend,peak_am,5805.43452380952
37,weekend,mid,
37,weekend,peak_pm,
25,weekday,late_pm,228.3
25,weekday,early_am,159.416666666667
25,weekday,peak_am,1469.625
25,weekday,mid,719.2
25,weekday,peak_pm,1165
25,weekend,late_pm,64.4
25,weekend,early_am,21.0833333333333
25,weekend,peak_am,240.125
25,weekend,mid,369
25,weekend,peak_pm,218.375
65,weekday,late_pm,493.04
65,weekday,early_am,204.870833333333
65,weekday,peak_am,2097.15
65,weekday,mid,1537.215
65,weekday,peak_pm,3002.55625
65,weekend,late_pm,107.13
65,weekend,early_am,26.1666666666667
65,weekend,peak_am,576.575
65,weekend,mid,1211.87
65,weekend,peak_pm,746.725
71,weekday,late_pm,1494.67777777778
71,weekday,early_am,884.007575757576
71,weekday,peak_am,
71,weekday,mid,
71,weekday,peak_pm,
71,weekend,late_pm,540.5
71,weekend,early_am,220.583333333333
71,weekend,peak_am,3419.6
71,weekend,mid,
71,weekend,peak_pm,
69,weekday,late_pm,1969.63114035088
69,weekday,early_am,2012.97499451032
69,weekday,peak_am,
69,weekday,mid,
69,weekday,peak_pm,6190.33333333333
69,weekend,late_pm,563.6
69,weekend,early_am,288.694444444444
69,weekend,peak_am,2525.04166666667
69,weekend,mid,3638.83333333333
69,weekend,peak_pm,2129.1875
68,weekday,late_pm,4019.74289473684
68,weekday,early_am,546.916666666667
68,weekday,peak_am,6442.14166666667
68,weekday,mid,8431.27980045635
68,weekday,peak_pm,
68,weekend,late_pm,881.991666666667
68,weekend,early_am,144.697863247863
68,weekend,peak_am,782.15
68,weekend,mid,2616.31
68,weekend,peak_pm,3013.79166666667
29,weekday,late_pm,974.475
29,weekday,early_am,792.308333333333
