taz_id,SHAPE_Area,RESUNITS,CIE,MED,MIPS,RETAIL,PDR,VISITOR
607500104235,74.6808306504873,12.600288344461,1172.32225776574,307.334556941625,4608.82661590688,1822.28824739394,61.9569969923709,292.698940405497
607500104232,20.2314243395498,67.1233017116489,639.005923805742,528.188219507128,10448.4487326365,1917.66033616115,2108.84806150773,148.284171675219
607500104277,9.42081743206313,75.1527141997646,1816.4028889638,637.099704275405,11829.0159854627,4156.6456713963,0,0
607500104278,15.5404107664805,66.4075110695236,1523.3831560658,557.128130658852,10553.4533458888,4087.92283258207,136.933317399173,178.244966727307
607500104281,15.31649970023,73.9725147504155,2973.06831790792,7995.88694525034,11924.7219387375,5089.93578988737,2867.56118301235,0
607500104280,8.91558217353414,63.5965199987878,1287.0724285469,2447.51263296922,12279.2878657977,11628.0684740641,2499.3320196349,1571.51823933513
607500104282,14.5514556703428,77.5180178227094,2277.36666013011,782.395951162718,12420.681758208,7855.84635583794,2589.63782412514,125.348284138849
607500104283,14.786652805022,85.2796110538094,4830.16683638793,698.061970894069,11417.8646260402,12299.1323593013,1092.74223267839,184.693590632794
607500104284,15.1951197195406,90.4237692996299,2343.0549187589,405.130075552054,11512.1830711899,11688.818731161,1568.85897840894,182.361182481277
607500104254,29.4614699340421,55.0889009826581,203.723711458973,417.290787850153,6403.68591324106,4745.65594700515,2077.79856663796,0
607500104314,9.57204391266667,143.647481409949,4772.12603878186,2021.51182929637,17198.4167124592,11567.4354411892,2403.24848171234,578.768761462631
607500104231,13.7878306336902,23.4264554433066,17469.3181544786,671.751796643671,22692.547385626,5788.07515991666,551.355771764758,200.901800550957
607500104285,9.51495333209412,67.5778406428068,6986.47672561621,21678.7190436595,18244.7558007931,7566.5110996561,5595.50826386264,291.120713189074
607500104313,9.61471575204433,148.938360418562,1451.00493449675,14386.3847426368,21066.3534131972,14062.7142275372,5664.65004318194,6432.53545866395
607500104320,32.7012341126366,30.7327850850633,2073.28566764398,1189.46581239175,11043.558746318,10285.9420791713,5117.91082328991,2043.71491821388
607500104229,7.72672034001492,125.667806944094,6680.84228863139,738.21747766129,10283.5351227228,6155.52238298146,3684.74575850186,5349.74713474879
607500104230,7.7385509102601,198.228326955394,11037.2085149375,1387.08139604902,10003.9401301035,3767.75966690901,3634.6598124344,2728.54701672956
607500104259,14.8752324688163,56.5369315580801,186.21557718892,220.567981500667,7853.72600024288,1631.84004356818,1242.80410667566,186.21557718892
607500104325,15.5373924259761,37.0718576327529,3476.25898343793,6809.82993150814,15815.5238191174,12109.1103862095,6636.05559885461,0
607500104324,15.4490134296523,42.3975293297898,4471.67712777079,16078.1787866949,23328.0915730365,13565.1380558555,5551.42245105357,0
607500104323,15.62317056125,38.3404890608886,3447.5076482613,8908.75507339174,18763.8609493966,12543.9326948192,6617.41479392315,405.935528587905
607500104257,14.3303773104373,56.4535031056565,1751.52401477377,1800.37129805431,5274.11095763352,3680.99170435523,2218.99251576857,5390.50705550773
607500104256,278.359274174809,2.81650396712721,300.891717182024,94.374437776061,739.932235455728,527.41910768097,128.83709409832,45.1251356263838
607500104233,52.8876271583855,19.3807144519904,1022.43195441651,74.7244717212351,2271.34410171687,960.092231930454,2037.69777148932,0
607500104227,5.16381513193838,227.351283886746,4488.15447645591,1605.01485592279,10410.3262077511,12210.1582626433,580.965802095604,0
